date,open,high,low,close,volume,Name
2014-12-10,101.31,101.345,100.155,100.23,540976,SJM
2014-12-11,100.5,101.01,100.0,100.64,612368,SJM
2014-12-12,100.17,100.63,99.11,99.16,555118,SJM
2014-12-15,99.69,99.69,97.55,98.29,760056,SJM
2014-12-16,98.1,99.77,97.33,98.31,598272,SJM
2014-12-17,98.7,100.61,98.5,100.35,457919,SJM
2014-12-18,101.51,102.63,100.86,102.61,732770,SJM
2014-12-19,103.05,103.49,102.16,102.79,884728,SJM
2014-12-22,103.12,103.555,102.62,103.15,398291,SJM
2014-12-23,103.61,104.09,103.16,103.65,376067,SJM
2014-12-24,103.91,103.91,103.22,103.45,175702,SJM
2014-12-26,103.63,104.02,103.34,103.39,155951,SJM
2014-12-29,103.06,103.65,102.88,103.1,377921,SJM
2014-12-30,102.75,103.49,102.46,102.5,460048,SJM
2014-12-31,102.74,103.1997,100.95,100.98,384167,SJM
2015-01-02,101.14,101.685,99.95,100.48,362736,SJM
2015-01-05,99.9,100.11,98.6,98.84,478447,SJM
2015-01-06,99.0,99.27,97.28,98.05,675764,SJM
2015-01-07,98.43,100.42,98.23,100.24,488644,SJM
2015-01-08,101.43,101.86,100.62,101.69,487516,SJM
2015-01-09,101.96,102.06,100.74,101.04,424597,SJM
2015-01-12,101.11,101.44,99.77,100.34,581160,SJM
2015-01-13,101.25,101.85,99.97,100.94,539672,SJM
2015-01-14,100.27,101.1,99.98,100.96,381674,SJM
2015-01-15,101.45,102.1,101.05,101.3,705426,SJM
2015-01-16,101.35,101.996,100.7,101.86,396810,SJM
2015-01-20,102.25,104.3,102.0,104.19,744023,SJM
2015-01-21,104.52,107.21,103.87,106.04,1108762,SJM
2015-01-22,106.42,107.04,105.68,106.87,508342,SJM
2015-01-23,106.85,107.19,106.09,106.49,402133,SJM
2015-01-26,106.24,106.79,106.11,106.45,366977,SJM
2015-01-27,106.0,106.35,105.17,105.77,362302,SJM
2015-01-28,105.96,106.71,104.62,104.73,399317,SJM
2015-01-29,104.76,105.16,103.5,105.1,576377,SJM
2015-01-30,104.43,104.44,103.01,103.15,453626,SJM
2015-02-02,103.23,104.49,101.88,104.47,398474,SJM
2015-02-03,104.68,105.91,104.68,105.88,405883,SJM
2015-02-04,113.02,114.47,111.52,112.1,6184203,SJM
2015-02-05,112.02,113.41,111.68,113.33,1535859,SJM
2015-02-06,113.33,113.47,112.51,113.0,843654,SJM
2015-02-09,112.68,113.31,112.456,112.91,640317,SJM
2015-02-10,113.34,113.55,112.31,113.15,574810,SJM
2015-02-11,112.44,113.08,110.89,111.26,1051626,SJM
2015-02-12,110.94,112.47,110.52,112.39,892581,SJM
2015-02-13,111.14,114.91,109.57,113.89,1744524,SJM
2015-02-17,113.28,113.8199,112.64,113.21,1174168,SJM
2015-02-18,112.69,114.39,112.69,114.3,506156,SJM
2015-02-19,113.96,114.43,112.85,113.88,661802,SJM
2015-02-20,113.32,114.0,112.24,113.44,1466704,SJM
2015-02-23,113.06,113.64,112.73,113.25,944458,SJM
2015-02-24,112.91,113.8108,112.04,113.47,776565,SJM
2015-02-25,113.6,113.84,112.92,113.11,567302,SJM
2015-02-26,113.98,115.4,112.91,115.21,1039669,SJM
2015-02-27,115.39,115.84,114.67,115.35,754289,SJM
2015-03-02,115.38,115.66,114.5,114.96,570191,SJM
2015-03-03,114.92,114.95,113.02,114.12,673744,SJM
2015-03-04,114.07,114.27,113.375,114.24,485128,SJM
2015-03-05,114.76,114.76,113.7,114.23,580295,SJM
2015-03-06,114.03,114.19,112.23,112.77,601564,SJM
2015-03-09,112.5,113.31,112.18,113.05,526791,SJM
2015-03-10,112.25,112.53,110.73,110.73,719913,SJM
2015-03-11,110.74,111.25,110.0601,111.12,649960,SJM
2015-03-12,111.34,112.79,110.99,112.44,637080,SJM
2015-03-13,112.09,112.39,110.56,111.02,782131,SJM
2015-03-16,111.66,112.63,111.17,111.78,635946,SJM
2015-03-17,111.01,111.56,110.11,110.59,438423,SJM
2015-03-18,110.45,112.94,109.27,112.61,911277,SJM
2015-03-19,112.08,112.36,111.36,112.0,489380,SJM
2015-03-20,112.8,114.13,112.57,113.71,894371,SJM
2015-03-23,113.9,114.25,113.26,113.39,441472,SJM
2015-03-24,113.97,114.9499,112.5,112.62,562700,SJM
2015-03-25,113.57,115.96,112.64,114.64,1153313,SJM
2015-03-26,114.7,115.32,113.83,114.48,671710,SJM
2015-03-27,114.37,116.26,114.23,116.01,729238,SJM
2015-03-30,116.45,117.22,115.03,117.13,875895,SJM
2015-03-31,116.89,117.65,115.63,115.73,705380,SJM
2015-04-01,115.65,115.68,113.93,115.48,856541,SJM
2015-04-02,115.32,116.55,114.89,116.01,1213012,SJM
2015-04-06,115.95,117.66,115.482,117.24,649116,SJM
2015-04-07,117.22,117.49,115.73,115.87,500537,SJM
2015-04-08,115.79,116.4,114.91,115.55,638386,SJM
2015-04-09,115.69,116.26,115.04,116.14,472491,SJM
2015-04-10,116.16,116.93,116.02,116.75,440179,SJM
2015-04-13,117.4,117.4,116.5,116.9,567196,SJM
2015-04-14,116.65,118.08,116.29,117.79,474054,SJM
2015-04-15,118.0,118.644,117.41,118.08,584461,SJM
2015-04-16,117.92,118.33,117.46,117.98,387927,SJM
2015-04-17,117.82,118.0,116.49,117.42,721702,SJM
2015-04-20,117.66,118.285,116.73,117.08,694593,SJM
2015-04-21,117.08,117.91,116.84,117.44,573364,SJM
2015-04-22,117.43,118.11,116.75,117.94,447119,SJM
2015-04-23,117.4,117.69,116.73,116.97,362719,SJM
2015-04-24,117.28,117.6,116.04,116.31,587132,SJM
2015-04-27,116.82,118.32,115.86,118.2,1426630,SJM
2015-04-28,117.87,118.11,116.03,116.19,1103890,SJM
2015-04-29,116.17,116.81,115.62,116.02,534969,SJM
2015-04-30,116.0,117.0,115.22,115.92,871138,SJM
2015-05-01,116.2,117.21,116.13,116.86,374123,SJM
2015-05-04,117.28,118.83,117.28,118.37,579173,SJM
2015-05-05,117.69,118.13,115.49,116.28,799905,SJM
2015-05-06,116.65,116.94,115.24,116.25,431235,SJM
2015-05-07,116.13,116.34,115.47,115.77,530250,SJM
2015-05-08,116.6,117.41,115.92,115.99,685219,SJM
2015-05-11,115.83,116.96,115.605,116.27,428909,SJM
2015-05-12,115.79,116.84,115.74,116.46,522045,SJM
2015-05-13,115.97,117.15,115.97,116.58,326993,SJM
2015-05-14,117.17,118.4,117.018,118.36,335434,SJM
2015-05-15,118.35,118.59,117.84,118.5,454533,SJM
2015-05-18,118.17,119.13,118.11,118.67,341211,SJM
2015-05-19,118.76,119.35,118.48,119.27,553782,SJM
2015-05-20,119.13,120.41,119.0414,119.88,401248,SJM
2015-05-21,119.69,119.88,119.18,119.28,507480,SJM
2015-05-22,119.3,120.65,119.19,120.39,483029,SJM
2015-05-26,120.4,120.58,119.34,119.47,518719,SJM
2015-05-27,120.0,120.52,119.32,119.9,432544,SJM
2015-05-28,120.27,120.3,119.14,119.5,357350,SJM
2015-05-29,119.58,119.86,118.48,118.55,539005,SJM
2015-06-01,118.68,118.93,118.04,118.42,473278,SJM
2015-06-02,118.42,118.916,117.46,118.55,589603,SJM
2015-06-03,118.73,118.73,117.79,118.19,637916,SJM
2015-06-04,115.68,116.56,113.0662,113.75,3078865,SJM
2015-06-05,113.51,113.73,110.87,111.32,2033043,SJM
2015-06-08,110.94,111.98,110.26,110.48,1498101,SJM
2015-06-09,110.51,111.88,110.05,111.6,1020685,SJM
2015-06-10,111.7,112.26,110.89,111.57,796609,SJM
2015-06-11,111.63,112.34,111.3601,111.75,579211,SJM
2015-06-12,111.28,111.75,111.07,111.29,427116,SJM
2015-06-15,110.86,111.39,110.34,110.99,885484,SJM
2015-06-16,111.39,112.53,110.92,112.35,493620,SJM
2015-06-17,112.18,112.98,111.68,112.72,516270,SJM
2015-06-18,112.96,114.09,112.24,113.32,624811,SJM
2015-06-19,113.15,114.47,113.15,113.48,1569172,SJM
2015-06-22,113.76,114.305,113.47,113.68,404002,SJM
2015-06-23,113.67,113.67,112.71,112.81,824501,SJM
2015-06-24,112.86,113.262,111.095,111.7,824632,SJM
2015-06-25,111.68,111.94,110.85,110.93,681211,SJM
2015-06-26,111.37,111.65,110.51,110.62,1603960,SJM
2015-06-29,110.19,110.36,108.29,108.38,1133915,SJM
2015-06-30,109.09,109.37,108.26,108.41,1024494,SJM
2015-07-01,108.82,109.43,108.41,109.21,760453,SJM
2015-07-02,109.52,109.84,108.49,108.75,857814,SJM
2015-07-06,108.02,108.68,107.3801,108.03,1377475,SJM
2015-07-07,108.29,110.18,107.64,109.81,911707,SJM
2015-07-08,109.38,109.72,108.44,108.46,763426,SJM
2015-07-09,109.69,109.93,108.27,108.3,534000,SJM
2015-07-10,106.4,108.5395,106.26,107.59,2894430,SJM
2015-07-13,108.42,109.34,108.14,108.7,901192,SJM
2015-07-14,108.76,108.79,107.715,108.54,789433,SJM
2015-07-15,108.63,109.04,107.1,108.11,1101372,SJM
2015-07-16,108.46,109.0,108.25,108.61,395587,SJM
2015-07-17,108.94,108.94,107.56,108.46,431147,SJM
2015-07-20,108.38,108.38,107.65,108.07,424838,SJM
2015-07-21,108.15,108.4,107.27,107.38,595928,SJM
2015-07-22,107.44,108.36,107.17,107.43,479624,SJM
2015-07-23,107.34,107.86,106.66,106.93,421237,SJM
2015-07-24,106.79,106.955,105.29,105.59,598750,SJM
2015-07-27,105.19,106.01,104.81,105.98,609442,SJM
2015-07-28,106.33,108.71,105.76,108.71,938446,SJM
2015-07-29,108.95,110.53,108.39,109.77,920138,SJM
2015-07-30,109.3,110.9,108.74,110.76,848640,SJM
2015-07-31,111.06,112.08,110.55,111.69,1219433,SJM
2015-08-03,111.43,111.96,111.18,111.9,442246,SJM
2015-08-04,111.79,112.58,111.54,112.1,705448,SJM
2015-08-05,112.36,113.58,111.77,113.49,626716,SJM
2015-08-06,113.36,113.67,111.12,111.76,1393548,SJM
2015-08-07,111.05,111.59,109.78,110.04,712599,SJM
2015-08-10,110.42,110.99,109.62,110.51,596841,SJM
2015-08-11,109.72,110.0,108.69,108.9,1039411,SJM
2015-08-12,107.75,109.36,106.5,109.35,645930,SJM
2015-08-13,109.55,109.55,108.6,108.63,363610,SJM
2015-08-14,108.93,109.74,108.43,109.38,383394,SJM
2015-08-17,109.11,109.31,107.17,109.01,465465,SJM
2015-08-18,109.02,110.13,108.63,108.97,650689,SJM
2015-08-19,110.63,112.91,110.32,111.88,1469437,SJM
2015-08-20,111.4,112.94,111.01,111.76,925809,SJM
2015-08-21,111.04,111.455,109.75,109.9,961863,SJM
2015-08-24,106.19,110.79,104.3,108.12,2091112,SJM
2015-08-25,110.02,110.92,106.75,106.85,1420745,SJM
2015-08-26,108.91,109.51,107.03,109.15,1513421,SJM
2015-08-27,113.69,117.26,113.4,116.29,2179954,SJM
2015-08-28,116.23,117.65,115.56,117.59,1222188,SJM
2015-08-31,117.34,118.5,116.65,117.72,1257671,SJM
2015-09-01,116.64,117.59,113.33,114.02,967276,SJM
2015-09-02,115.18,115.64,114.29,115.64,803821,SJM
2015-09-03,116.18,117.3055,115.92,116.88,853313,SJM
2015-09-04,115.53,116.24,114.5601,115.61,766267,SJM
2015-09-08,117.02,117.27,115.66,116.35,908958,SJM
2015-09-09,117.42,117.42,114.32,114.6,949395,SJM
2015-09-10,114.62,115.61,113.61,114.57,686258,SJM
2015-09-11,114.33,116.16,113.786,116.11,812820,SJM
2015-09-14,116.12,116.72,115.19,115.63,870668,SJM
2015-09-15,116.09,116.47,114.78,116.22,654493,SJM
2015-09-16,116.7,118.05,116.7,117.53,860077,SJM
2015-09-17,117.22,118.09,116.13,116.78,1005141,SJM
2015-09-18,115.99,117.01,115.87,116.57,1546031,SJM
2015-09-21,117.32,117.93,116.82,117.05,689056,SJM
2015-09-22,113.37,114.09,112.12,113.22,4857674,SJM
2015-09-23,113.49,114.09,112.75,113.55,993305,SJM
2015-09-24,113.1,113.84,112.53,113.43,1452095,SJM
2015-09-25,113.52,115.08,113.52,114.36,1577848,SJM
2015-09-28,114.23,115.73,112.27,113.01,1908342,SJM
2015-09-29,112.78,113.35,112.01,112.54,1538056,SJM
2015-09-30,113.73,114.94,113.01,114.09,1398361,SJM
2015-10-01,114.11,114.66,112.4,113.61,1148201,SJM
2015-10-02,108.06,115.83,106.87,115.65,3328193,SJM
2015-10-05,116.63,117.0,115.92,116.73,1472461,SJM
2015-10-06,116.98,117.01,114.66,114.82,738256,SJM
2015-10-07,115.12,116.29,115.05,115.99,716761,SJM
2015-10-08,115.78,117.4,115.16,116.96,730118,SJM
2015-10-09,116.88,118.65,116.65,118.09,868069,SJM
2015-10-12,118.16,119.08,117.96,118.42,516586,SJM
2015-10-13,118.02,119.57,118.01,118.81,1131798,SJM
2015-10-14,118.65,119.97,118.53,119.3,1056919,SJM
2015-10-15,120.05,120.44,118.63,119.62,1048328,SJM
2015-10-16,120.0,120.16,118.5,119.1,895499,SJM
2015-10-19,119.13,120.07,118.58,118.77,710535,SJM
2015-10-20,117.46,117.93,112.85,114.91,2893553,SJM
2015-10-21,115.24,116.9,114.95,115.62,1131126,SJM
2015-10-22,116.48,118.53,116.48,118.27,950951,SJM
2015-10-23,118.59,119.19,117.55,118.27,441401,SJM
2015-10-26,118.1,118.406,117.01,117.32,560963,SJM
2015-10-27,116.23,117.56,115.81,117.1,800657,SJM
2015-10-28,117.18,117.67,115.75,116.35,945470,SJM
2015-10-29,116.16,116.96,115.33,116.69,563758,SJM
2015-10-30,116.41,118.18,115.93,117.39,882941,SJM
2015-11-02,117.3,117.8,115.97,117.42,697833,SJM
2015-11-03,116.76,117.62,115.51,117.21,940457,SJM
2015-11-04,117.41,117.77,116.8892,117.62,514962,SJM
2015-11-05,117.79,118.03,116.73,117.97,512990,SJM
2015-11-06,118.01,118.01,113.86,115.0,1207790,SJM
2015-11-09,114.82,115.03,113.61,114.91,813579,SJM
2015-11-10,114.26,115.63,113.41,114.72,768287,SJM
2015-11-11,114.92,115.76,114.65,115.24,392452,SJM
2015-11-12,114.75,115.47,113.25,113.33,602574,SJM
2015-11-13,113.02,113.2,111.01,111.74,1073387,SJM
2015-11-16,111.44,113.34,111.44,113.33,523612,SJM
2015-11-17,113.3,114.41,111.63,112.11,765306,SJM
2015-11-18,112.14,114.39,112.12,113.38,1426314,SJM
2015-11-19,118.07,123.98,116.42,121.28,3654432,SJM
2015-11-20,122.15,123.16,121.63,122.39,1196609,SJM
2015-11-23,122.97,124.77,122.52,122.54,1488724,SJM
2015-11-24,120.62,122.3075,119.5,122.14,2772291,SJM
2015-11-25,122.88,123.46,122.51,122.94,1061303,SJM
2015-11-27,123.09,123.97,122.63,123.26,293943,SJM
2015-11-30,123.66,123.91,121.15,121.19,921522,SJM
2015-12-01,121.78,122.49,120.65,120.81,1189559,SJM
2015-12-02,120.8,121.93,120.44,120.62,948655,SJM
2015-12-03,121.04,121.2,118.99,120.3,899022,SJM
2015-12-04,120.69,123.29,120.69,123.14,669036,SJM
2015-12-07,123.04,124.0,122.9706,123.67,736505,SJM
2015-12-08,123.04,124.26,122.61,123.48,970254,SJM
2015-12-09,123.04,124.44,121.7,122.59,556960,SJM
2015-12-10,122.67,123.5,121.73,122.01,636428,SJM
2015-12-11,120.76,122.07,120.26,120.58,576162,SJM
2015-12-14,120.65,121.25,118.97,120.17,1275747,SJM
2015-12-15,120.63,122.26,120.56,122.04,768503,SJM
2015-12-16,123.02,124.27,121.43,124.07,1513730,SJM
2015-12-17,124.07,124.95,122.61,123.64,1010641,SJM
2015-12-18,122.82,122.91,121.22,121.55,1479971,SJM
2015-12-21,122.15,123.19,122.03,123.0,804456,SJM
2015-12-22,122.28,123.27,121.41,122.97,1126865,SJM
2015-12-23,123.89,125.0,123.28,124.86,655361,SJM
2015-12-24,124.45,125.01,124.33,124.78,206133,SJM
2015-12-28,124.69,124.725,123.61,124.23,561986,SJM
2015-12-29,124.89,125.33,124.52,124.8,436353,SJM
2015-12-30,124.96,124.96,123.92,123.95,404498,SJM
2015-12-31,123.71,124.08,122.18,123.34,413870,SJM
2016-01-04,121.6,122.57,121.25,122.38,1183007,SJM
2016-01-05,122.17,123.69,121.87,123.3,1242598,SJM
2016-01-06,121.75,123.3799,121.625,122.4,1050840,SJM
2016-01-07,121.23,121.66,119.93,120.31,1020673,SJM
2016-01-08,120.64,121.135,119.92,120.04,1316637,SJM
2016-01-11,120.6,121.255,119.6,120.74,822092,SJM
2016-01-12,121.6,122.16,120.25,121.67,883562,SJM
2016-01-13,122.0,122.18,119.06,119.16,926056,SJM
2016-01-14,119.22,120.9,118.8,120.3,700070,SJM
2016-01-15,118.98,118.98,117.61,118.26,1107907,SJM
2016-01-19,119.51,120.35,118.53,119.73,947155,SJM
2016-01-20,118.48,120.185,117.36,119.38,1149915,SJM
2016-01-21,119.38,119.87,117.92,119.26,994258,SJM
2016-01-22,120.38,122.97,119.955,122.89,1182414,SJM
2016-01-25,122.43,123.6185,121.68,121.85,733598,SJM
2016-01-26,122.02,123.47,121.95,122.93,480381,SJM
2016-01-27,123.07,125.39,123.07,124.44,1173742,SJM
2016-01-28,125.1,127.62,124.91,126.29,1044137,SJM
2016-01-29,127.06,128.43,126.33,128.32,1024001,SJM
2016-02-01,127.89,129.69,127.48,129.13,824085,SJM
2016-02-02,127.85,129.45,127.32,128.33,785718,SJM
2016-02-03,128.74,130.0,127.5,129.37,996280,SJM
2016-02-04,128.61,129.35,125.1,125.93,1041027,SJM
2016-02-05,126.16,126.73,125.04,125.47,588785,SJM
2016-02-08,124.79,126.08,123.18,125.69,1059132,SJM
2016-02-09,125.39,128.12,124.94,127.35,956703,SJM
2016-02-10,127.35,128.93,126.725,127.82,688820,SJM
2016-02-11,126.25,127.24,125.06,126.15,1017172,SJM
2016-02-12,127.51,127.57,125.76,126.92,799661,SJM
2016-02-16,128.54,128.71,125.74,127.7,836152,SJM
2016-02-17,128.38,129.72,126.08,127.43,1511450,SJM
2016-02-18,127.5,128.34,125.775,127.53,1531216,SJM
2016-02-19,126.57,127.84,125.51,127.75,982172,SJM
2016-02-22,128.67,129.0,126.52,126.86,1274148,SJM
2016-02-23,123.5,125.52,121.79,123.85,2690023,SJM
2016-02-24,123.58,127.95,123.22,127.76,1457108,SJM
2016-02-25,128.5,129.83,128.24,129.57,859480,SJM
2016-02-26,129.82,130.0,126.94,127.67,762328,SJM
2016-02-29,127.39,128.55,126.85,127.57,1003508,SJM
2016-03-01,128.42,129.48,127.95,128.23,743913,SJM
2016-03-02,127.73,128.22,125.46,127.81,766095,SJM
2016-03-03,127.5,128.515,126.6,128.31,507804,SJM
2016-03-04,127.79,128.22,126.83,127.54,801566,SJM
2016-03-07,127.23,127.573,126.32,126.8,885508,SJM
2016-03-08,126.24,127.21,125.66,126.21,1520304,SJM
2016-03-09,126.9,127.68,126.01,127.07,1046669,SJM
2016-03-10,127.59,128.77,127.2501,128.49,845694,SJM
2016-03-11,128.91,129.92,128.5183,129.52,777213,SJM
2016-03-14,129.14,129.53,128.47,129.26,530963,SJM
2016-03-15,128.47,129.74,128.205,128.46,873909,SJM
2016-03-16,128.06,129.51,127.51,129.14,583710,SJM
2016-03-17,129.03,130.49,128.875,129.91,844987,SJM
2016-03-18,129.97,129.97,128.44,128.85,1421662,SJM
2016-03-21,128.19,129.41,128.01,128.34,581384,SJM
2016-03-22,127.98,128.58,127.16,127.7,661207,SJM
2016-03-23,127.7,129.13,126.84,128.77,644498,SJM
2016-03-24,128.48,129.12,127.95,128.71,563653,SJM
2016-03-28,128.77,130.61,128.77,129.6,560897,SJM
2016-03-29,129.76,130.56,129.51,129.98,612779,SJM
2016-03-30,130.47,130.54,128.7,130.18,776309,SJM
2016-03-31,130.06,130.3599,129.65,129.84,1050720,SJM
2016-04-01,129.12,132.64,129.12,132.52,949408,SJM
2016-04-04,130.06,130.81,126.93,127.57,1970955,SJM
2016-04-05,127.43,127.64,125.14,126.01,1997443,SJM
2016-04-06,125.95,127.56,125.74,127.54,1226240,SJM
2016-04-07,126.72,128.11,126.72,127.72,927885,SJM
2016-04-08,127.91,128.28,127.51,127.9,509014,SJM
2016-04-11,128.3,128.91,127.75,127.78,655762,SJM
2016-04-12,127.71,128.27,127.41,127.97,367662,SJM
2016-04-13,128.16,128.3,126.62,128.22,919400,SJM
2016-04-14,128.18,128.55,127.25,127.4,1240085,SJM
2016-04-15,127.55,128.5,126.97,128.4,718135,SJM
2016-04-18,128.5,129.55,128.015,129.38,718161,SJM
2016-04-19,129.71,130.48,129.22,129.53,886822,SJM
2016-04-20,129.21,129.74,128.51,128.54,488306,SJM
2016-04-21,128.2,128.2,124.27,124.58,1416398,SJM
2016-04-22,124.72,126.24,124.32,126.15,934015,SJM
2016-04-25,125.6,127.92,125.14,127.43,687796,SJM
2016-04-26,127.82,128.89,127.18,127.31,757734,SJM
2016-04-27,127.58,128.45,126.83,127.94,468216,SJM
2016-04-28,127.33,128.44,127.09,127.78,421226,SJM
2016-04-29,127.31,128.24,125.79,126.98,684703,SJM
2016-05-02,127.24,128.26,127.0,127.68,921206,SJM
2016-05-03,127.36,127.96,126.42,126.82,566090,SJM
2016-05-04,126.7,128.42,126.06,128.15,749918,SJM
2016-05-05,128.44,129.46,128.025,128.38,534853,SJM
2016-05-06,128.37,129.53,127.34,129.27,746233,SJM
2016-05-09,129.35,130.14,128.74,129.42,458632,SJM
2016-05-10,129.89,131.32,129.74,131.28,792912,SJM
2016-05-11,130.67,131.18,129.98,130.46,846617,SJM
2016-05-12,130.96,131.79,130.06,131.51,761026,SJM
2016-05-13,130.95,131.75,130.1,130.57,452176,SJM
2016-05-16,130.18,131.22,130.17,130.83,373850,SJM
2016-05-17,130.34,130.61,127.27,127.74,832036,SJM
2016-05-18,127.36,127.98,125.84,126.72,767893,SJM
2016-05-19,126.28,127.14,125.67,127.08,565107,SJM
2016-05-20,127.74,127.94,126.32,126.6,517762,SJM
2016-05-23,126.91,127.35,126.23,126.94,370114,SJM
2016-05-24,127.24,128.32,126.1,127.93,503489,SJM
2016-05-25,129.11,129.74,128.0,128.79,565217,SJM
2016-05-26,128.64,129.77,128.5,129.47,526374,SJM
2016-05-27,129.3,129.84,128.76,129.22,341439,SJM
2016-05-31,129.22,130.0,128.3,129.15,770738,SJM
2016-06-01,129.02,129.97,128.455,129.72,453065,SJM
2016-06-02,129.15,130.4,128.98,130.4,659757,SJM
2016-06-03,130.51,131.93,130.19,131.72,448738,SJM
2016-06-06,131.72,132.32,131.17,131.93,567724,SJM
2016-06-07,131.87,133.21,131.71,132.53,675002,SJM
2016-06-08,132.53,133.26,131.65,132.71,1453541,SJM
2016-06-09,139.0,143.8199,139.0,143.23,3681466,SJM
2016-06-10,142.36,145.7,142.36,144.24,2745355,SJM
2016-06-13,144.0,145.6,143.25,144.22,1352775,SJM
2016-06-14,144.73,145.5,143.02,144.08,1510834,SJM
2016-06-15,144.54,145.14,143.18,143.52,1207236,SJM
2016-06-16,143.5,145.83,143.05,145.4,1044791,SJM
2016-06-17,145.51,145.59,143.72,144.72,1009239,SJM
2016-06-20,144.98,146.22,144.98,145.16,994971,SJM
2016-06-21,145.47,146.61,144.55,146.0,1204603,SJM
2016-06-22,146.98,147.19,145.9376,147.09,1157352,SJM
2016-06-23,146.8,147.41,145.54,146.56,1190944,SJM
2016-06-24,144.01,146.51,143.775,145.33,1474860,SJM
2016-06-27,144.98,146.91,144.53,146.75,1163037,SJM
2016-06-28,147.33,147.43,145.51,146.98,993224,SJM
2016-06-29,147.75,149.26,147.29,149.11,1118121,SJM
2016-06-30,148.79,152.6,148.74,152.41,1626745,SJM
2016-07-01,152.74,153.41,151.39,151.64,951929,SJM
2016-07-05,151.64,153.54,151.64,152.13,969062,SJM
2016-07-06,152.15,153.36,152.08,153.05,1408648,SJM
2016-07-07,153.87,154.71,152.66,153.21,738584,SJM
2016-07-08,153.54,154.48,152.84,154.08,883656,SJM
2016-07-11,153.91,154.0,152.94,153.25,1240650,SJM
2016-07-12,153.17,153.31,151.63,151.86,1032486,SJM
2016-07-13,152.25,152.8,151.94,152.68,674003,SJM
2016-07-14,152.6,153.3,150.8781,151.5,1443256,SJM
2016-07-15,151.98,153.48,151.37,152.76,1182486,SJM
2016-07-18,152.93,153.25,151.6375,152.74,746846,SJM
2016-07-19,152.25,153.0,151.56,152.83,461069,SJM
2016-07-20,153.01,153.01,152.05,152.39,561609,SJM
2016-07-21,152.59,152.79,151.88,152.74,493316,SJM
2016-07-22,152.67,153.35,152.51,152.97,588546,SJM
2016-07-25,153.15,154.72,153.15,154.72,980679,SJM
2016-07-26,154.94,154.97,152.56,152.72,908705,SJM
2016-07-27,152.61,153.19,150.25,151.74,903086,SJM
2016-07-28,151.37,152.75,150.89,152.35,1052129,SJM
2016-07-29,152.31,154.49,152.31,154.16,997621,SJM
2016-08-01,154.16,154.62,153.04,154.28,650594,SJM
2016-08-02,153.7,154.6,152.66,154.58,856661,SJM
2016-08-03,154.7,154.75,151.99,152.77,918116,SJM
2016-08-04,153.39,156.33,153.39,156.2,1138197,SJM
2016-08-05,156.64,157.309,154.4,155.23,962322,SJM
2016-08-08,155.27,155.3626,153.69,154.47,873931,SJM
2016-08-09,154.08,154.69,153.51,153.9,921706,SJM
2016-08-10,152.91,154.23,152.91,153.99,541636,SJM
2016-08-11,154.45,154.45,152.1,152.86,977329,SJM
2016-08-12,153.01,153.36,152.5401,152.83,841309,SJM
2016-08-15,152.34,152.96,151.37,152.06,920432,SJM
2016-08-16,151.67,152.01,150.8274,151.34,858959,SJM
2016-08-17,152.0,153.35,151.59,153.28,960918,SJM
2016-08-18,153.0,154.77,152.315,154.37,823732,SJM
2016-08-19,154.12,154.86,152.88,154.61,1333350,SJM
2016-08-22,154.83,156.23,154.16,156.23,1808823,SJM
2016-08-23,149.8,149.8,142.55,143.63,5382968,SJM
2016-08-24,143.63,143.81,140.34,142.28,1853452,SJM
2016-08-25,142.08,142.94,140.68,140.99,1324232,SJM
2016-08-26,140.89,141.45,138.47,138.98,1393641,SJM
2016-08-29,139.4,141.93,139.32,141.49,970858,SJM
2016-08-30,140.86,141.2599,139.23,139.76,715607,SJM
2016-08-31,139.78,141.83,139.5,141.79,1951732,SJM
2016-09-01,141.23,141.72,140.055,140.66,1140153,SJM
2016-09-02,140.94,142.235,140.92,141.47,552693,SJM
2016-09-06,141.5,142.08,140.79,141.82,702236,SJM
2016-09-07,141.38,141.62,139.87,140.14,737251,SJM
2016-09-08,139.41,140.28,138.75,139.58,537965,SJM
2016-09-09,138.8,138.85,135.9,135.93,1211528,SJM
2016-09-12,136.69,138.06,136.15,137.83,997884,SJM
2016-09-13,137.61,137.81,136.21,136.44,1334823,SJM
2016-09-14,136.85,137.54,136.04,136.95,962061,SJM
2016-09-15,136.89,137.9,136.41,137.68,687371,SJM
2016-09-16,137.09,137.26,135.92,137.03,1479422,SJM
2016-09-19,136.82,137.86,136.7701,137.03,756989,SJM
2016-09-20,137.38,137.6,135.68,135.69,585216,SJM
2016-09-21,135.36,136.64,134.6,136.33,841047,SJM
2016-09-22,137.3,138.28,136.0,137.87,609029,SJM
2016-09-23,136.38,137.45,136.38,137.18,1024449,SJM
2016-09-26,136.99,138.2299,136.45,137.72,817254,SJM
2016-09-27,136.32,136.32,133.151,133.65,1481061,SJM
2016-09-28,133.19,134.79,133.0,134.72,1089928,SJM
2016-09-29,134.66,135.59,134.41,134.77,893434,SJM
2016-09-30,135.27,136.06,135.18,135.54,703069,SJM
2016-10-03,135.0,135.92,134.84,135.39,554889,SJM
2016-10-04,135.07,135.35,132.82,133.18,939403,SJM
2016-10-05,133.56,133.9,132.5,133.1,1376372,SJM
2016-10-06,132.83,133.5,132.31,133.08,510812,SJM
